Title,Organisations,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility,Category,Region
Xenethon,Government College of Engineering Keonjhar,https://unstop.com/hackathons/xenethon-government-college-of-engineering-keonjhar-1175384,2024-10-07T00:00:00+05:30,hackathons,open,64,11,14723,"Hackathon, Coding Challenge, Engineering Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Engineering Students, Undergraduate, Postgraduate",offline
Hack2Hire,SkillMingle.in,https://unstop.com/hackathons/hack2hire-skillminglein-1174817,2024-10-04T00:00:00+05:30,hackathons,open,752,11,23638,"Hackathon, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Cross Connect Creatify,Chandigarh university mohali,https://unstop.com/hackathons/cross-connect-creatify-chandigarh-university-mohali-1174936,2024-10-06T00:00:00+05:30,N/A,open,33,8,21547,"Presentation, All","Presentation, All",offline
CSS Battles 2024,Institution of Engineering and Technology (IET),https://unstop.com/hackathons/css-battles-2024-institution-of-engineering-and-technology-iet-1174926,2024-10-06T00:00:00+05:30,hackathons,open,56,11,21572,"Coding Challenge, College Festival, Designing, Engineering Students, Postgraduate, Undergraduate","Coding Challenge, College Festival, Designing, Engineering Students, Postgraduate, Undergraduate",offline
Generative AI Contest 2024,"Chandigarh University (CU), Ajitgarh, Punjab",https://unstop.com/hackathons/generative-ai-contest-2024-chandigarh-university-cu-ajitgarh-punjab-1174696,2024-10-05T00:00:00+05:30,N/A,open,113,9,18235,"College Festival, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
Winter Coding Contest 4.0,"Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering & Technology, Telangana",https://unstop.com/hackathons/winter-coding-contest-40-vallurupalli-nageswara-rao-vignana-jyothi-institute-of-engineering-technology-telang-1168884,2024-09-25T00:00:00+05:30,hackathons,open,943,9,24813,"Engineering Students, Undergraduate, Coding Challenge, College Festival, Fellowships","Engineering Students, Undergraduate, Coding Challenge, College Festival, Fellowships",online
Ideathon 1.0,"Vidyavardhini's College of Engineering and Technology, Vasai",https://unstop.com/hackathons/ideathon-10-vidyavardhinis-college-of-engineering-and-technology-vasai-1174352,2024-10-04T00:00:00+05:30,hackathons,open,93,8,21231,"Business Plan, Paper Presentation, Marketing, Entrepreneurship, Poster Making, Engineering Students, MBA Students, Undergraduate, Postgraduate","Business Plan, Paper Presentation, Marketing, Entrepreneurship, Poster Making, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
Innovarium 2024,"Sri Krishna College of Engineering and Technology (SKCET), Coimbatore",https://unstop.com/hackathons/innovarium-2024-sri-krishna-college-of-engineering-and-technology-skcet-coimbatore-1174005,2024-10-03T00:00:00+05:30,hackathons,open,438,2,25238,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
Coding Enigma,Weskill.org,https://unstop.com/hackathons/coding-enigma-weskillorg-1173865,2024-10-03T00:00:00+05:30,N/A,open,1345,7,31693,"Coding Challenge, Engineering Students, MBA Students, Postgraduate, Undergraduate, Fresher","Coding Challenge, Engineering Students, MBA Students, Postgraduate, Undergraduate, Fresher",online
Civil Tech Challenge,"Indian Institute of Technology (IIT), Patna",https://unstop.com/hackathons/civil-tech-challenge-celesta-2024-celesta-iitp-1173733,2024-10-04T00:00:00+05:30,hackathons,open,123,8,18306,"Coding Challenge, All","Coding Challenge, All",online
