Title,Organisations,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility,Category,Region,Days Until Deadline,Is Online,Total Impressions,Application Status
Winter Coding Contest 4.0,"Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering & Technology, Telangana",https://unstop.com/hackathons/winter-coding-contest-40-vallurupalli-nageswara-rao-vignana-jyothi-institute-of-engineering-technology-telang-1168884,2024-09-25 00:00:00,hackathons,open,943,1970-01-01 00:00:00.000000009,24813,"Engineering Students, Undergraduate, Coding Challenge, College Festival, Fellowships","Engineering Students, Undergraduate, Coding Challenge, College Festival, Fellowships",online,-19991,1,25756,0
Ideathon 1.0,"Vidyavardhini's College of Engineering and Technology, Vasai",https://unstop.com/hackathons/ideathon-10-vidyavardhinis-college-of-engineering-and-technology-vasai-1174352,2024-10-04 00:00:00,hackathons,open,93,1970-01-01 00:00:00.000000008,21231,"Business Plan, Paper Presentation, Marketing, Entrepreneurship, Poster Making, Engineering Students, MBA Students, Undergraduate, Postgraduate","Business Plan, Paper Presentation, Marketing, Entrepreneurship, Poster Making, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,-20000,0,21324,0
Innovarium 2024,"Sri Krishna College of Engineering and Technology (SKCET), Coimbatore",https://unstop.com/hackathons/innovarium-2024-sri-krishna-college-of-engineering-and-technology-skcet-coimbatore-1174005,2024-10-03 00:00:00,hackathons,open,438,1970-01-01 00:00:00.000000002,25238,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,-19999,0,25676,0
Coding Enigma,Weskill.org,https://unstop.com/hackathons/coding-enigma-weskillorg-1173865,2024-10-03 00:00:00,,open,1345,1970-01-01 00:00:00.000000007,31693,"Coding Challenge, Engineering Students, MBA Students, Postgraduate, Undergraduate, Fresher","Coding Challenge, Engineering Students, MBA Students, Postgraduate, Undergraduate, Fresher",online,-19999,1,33038,0
Civil Tech Challenge,"Indian Institute of Technology (IIT), Patna",https://unstop.com/hackathons/civil-tech-challenge-celesta-2024-celesta-iitp-1173733,2024-10-04 00:00:00,hackathons,open,123,1970-01-01 00:00:00.000000008,18306,"Coding Challenge, All","Coding Challenge, All",online,-20000,1,18429,0
Astro Particle Voyage,"Indian Institute of Technology (IIT), Patna",https://unstop.com/hackathons/astro-particle-voyage-celesta-2024-indian-institute-of-technology-iit-patna-1173709,2024-10-02 00:00:00,hackathons,open,160,1970-01-01 00:00:00.000000004,25654,"All, Coding Challenge, Online Quiz, Case Study, Simulation Game, Robotics","All, Coding Challenge, Online Quiz, Case Study, Simulation Game, Robotics",online,-19998,1,25814,0
ML Trek: ML & AI Bootcamp,National Institute of Technology Karnataka,https://unstop.com/hackathons/ml-trek-ml-ai-bootcamp-national-institute-of-technology-karnataka-1173600,2024-10-02 00:00:00,,open,453,2099-12-31 00:00:00.000000000,25775,"Engineering Students, Postgraduate, Undergraduate, Conclave, Coding Challenge","Engineering Students, Postgraduate, Undergraduate, Conclave, Coding Challenge",offline,27483,0,26228,0
Kill the Bug,Shobhit University,https://unstop.com/hackathons/kill-the-bug-nexaura-shobhit-university-1173119,2024-10-01 00:00:00,hackathons,open,37,1970-01-01 00:00:00.000000011,23379,"Coding Challenge, Hackathon, College Festival, All","Coding Challenge, Hackathon, College Festival, All",offline,-19997,0,23416,0
Kshitij 2025 x Altair Datathon,"Indian Institute of Technology (IIT), Kharagpur",https://unstop.com/hackathons/kshitij-2025-x-altair-datathon-iit-kharagpur-1173162,2024-10-02 15:00:00,hackathons,open,574,1970-01-01 00:00:00.000000023,28234,"Data Analytics, All, Data Science","Data Analytics, All, Data Science",online,-19999,1,28808,0
CyberSec Battle,"International Institute of Information Technology (IIIT), Bhubaneswar",https://unstop.com/hackathons/cybersec-battle-d3-techno-management-fest-international-institute-of-information-technology-iiit-bhubaneswar-1172051,2024-09-30 00:00:00,hackathons,open,1,1970-01-01 00:00:00.000000020,20785,"Engineering Students, Undergraduate, Coding Challenge, Hackathon","Engineering Students, Undergraduate, Coding Challenge, Hackathon",offline,-19996,0,20786,0
