Title,Organisations,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility,Category,Region,Days Until Deadline,Is Online,Total Impressions,Application Status
Hackfest'24,"KPR Institute of Engineering and Technology (KPRIET), Coimbatore",https://unstop.com/hackathons/hackfest24-kpr-institute-of-engineering-and-technology-kpriet-coimbatore-920712,2024-03-02 00:00:00,hackathons,recent,728,2099-12-31 00:00:00.000000000,28028,"Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students","Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students",online,27697,1,28756,1
Hack Sangam,"Institute of Engineering and Science, IPS Academy (IES IPS), Indore",https://unstop.com/hackathons/hack-sagama-ips-academy-institute-of-engineering-science-indore-919034,2024-03-01 00:00:00,hackathons,recent,347,2099-12-31 00:00:00.000000000,24374,"Hackathon, Engineering Students, Undergraduate, Coding Challenge","Hackathon, Engineering Students, Undergraduate, Coding Challenge",offline,27698,0,24721,1
Neural Net Insights,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/neural-net-insights-ojass-2024-national-institute-of-technology-nit-jamshedpur-919816,2024-03-02 00:00:00,hackathons,recent,213,2099-12-31 00:00:00.000000000,29423,"Coding Challenge, College Festival, All","Coding Challenge, College Festival, All",offline,27697,0,29636,1
Web Hackathon,"Indian Institute of Technology, Bhubaneswar",https://unstop.com/hackathons/web-hackathon-indian-institute-of-technology-bhubaneswar-iit-bhubaneswar-920609,2024-03-03 00:00:00,hackathons,recent,188,2099-12-31 00:00:00.000000000,22868,"College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27696,0,23056,1
Smart Automation Hackathon,"Indian Institute of Technology (IIT), Bhilai",https://unstop.com/hackathons/smart-automation-hackathon-meraz-40-indian-institute-of-technology-iit-bhilai-920332,2024-03-02 00:00:00,hackathons,recent,174,2099-12-31 00:00:00.000000000,23119,"Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online,27697,1,23293,1
Code Conundrum 2024,"Netaji Subhas University of Technology (NSUT), Delhi",https://unstop.com/hackathons/code-conundrum-2024-moksha-innovision-24-netaji-subhas-university-of-technology-nsut-delhi-920305,2024-03-02 00:00:00,hackathons,recent,81,2099-12-31 00:00:00.000000000,14499,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,14580,1
Gamevita 3.0,"Indian Institute of Information Technology (IIIT), Kottayam",https://unstop.com/hackathons/gamevita-30-iiit-kottayam-920142,2024-03-02 00:00:00,hackathons,recent,37,2099-12-31 00:00:00.000000000,21450,"Engineering Students, Hackathon, Coding Challenge, College Festival, Designing, Music, Undergraduate","Engineering Students, Hackathon, Coding Challenge, College Festival, Designing, Music, Undergraduate",online,27697,1,21487,1
Epoch,"Indraprastha Institute of Information Technology (IIIT), Delhi",https://unstop.com/hackathons/epoch-riise-indraprastha-institute-of-information-technology-iiit-delhi-919987,2024-03-02 00:00:00,hackathons,recent,1150,2099-12-31 00:00:00.000000000,28382,"Coding Challenge, Scholarship, Hackathon, Fellowships, College Festival, All","Coding Challenge, Scholarship, Hackathon, Fellowships, College Festival, All",offline,27697,0,29532,1
Hack-De-Science,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/hack-de-science-ojass-2024-national-institute-of-technology-nit-jamshedpur-919729,2024-03-02 00:00:00,hackathons,recent,212,2099-12-31 00:00:00.000000000,30168,"Hackathon, All, Coding Challenge, College Festival","Hackathon, All, Coding Challenge, College Festival",offline,27697,0,30380,1
Vishwa-Code-Mania,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/vishwa-code-mania-ojass-2024-national-institute-of-technology-nit-jamshedpur-919774,2024-03-02 00:00:00,hackathons,recent,148,2099-12-31 00:00:00.000000000,33597,"Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,33745,1
Hackfest'24,"KPR Institute of Engineering and Technology (KPRIET), Coimbatore",https://unstop.com/hackathons/hackfest24-kpr-institute-of-engineering-and-technology-kpriet-coimbatore-920712,2024-03-02 00:00:00,hackathons,recent,728,2099-12-31 00:00:00.000000000,28028,"Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students","Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students",online,27697,1,28756,1
Hack Sangam,"Institute of Engineering and Science, IPS Academy (IES IPS), Indore",https://unstop.com/hackathons/hack-sagama-ips-academy-institute-of-engineering-science-indore-919034,2024-03-01 00:00:00,hackathons,recent,347,2099-12-31 00:00:00.000000000,24374,"Hackathon, Engineering Students, Undergraduate, Coding Challenge","Hackathon, Engineering Students, Undergraduate, Coding Challenge",offline,27698,0,24721,1
Neural Net Insights,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/neural-net-insights-ojass-2024-national-institute-of-technology-nit-jamshedpur-919816,2024-03-02 00:00:00,hackathons,recent,213,2099-12-31 00:00:00.000000000,29423,"Coding Challenge, College Festival, All","Coding Challenge, College Festival, All",offline,27697,0,29636,1
Web Hackathon,"Indian Institute of Technology, Bhubaneswar",https://unstop.com/hackathons/web-hackathon-indian-institute-of-technology-bhubaneswar-iit-bhubaneswar-920609,2024-03-03 00:00:00,hackathons,recent,188,2099-12-31 00:00:00.000000000,22868,"College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27696,0,23056,1
Smart Automation Hackathon,"Indian Institute of Technology (IIT), Bhilai",https://unstop.com/hackathons/smart-automation-hackathon-meraz-40-indian-institute-of-technology-iit-bhilai-920332,2024-03-02 00:00:00,hackathons,recent,174,2099-12-31 00:00:00.000000000,23119,"Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online,27697,1,23293,1
Code Conundrum 2024,"Netaji Subhas University of Technology (NSUT), Delhi",https://unstop.com/hackathons/code-conundrum-2024-moksha-innovision-24-netaji-subhas-university-of-technology-nsut-delhi-920305,2024-03-02 00:00:00,hackathons,recent,81,2099-12-31 00:00:00.000000000,14499,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,14580,1
Gamevita 3.0,"Indian Institute of Information Technology (IIIT), Kottayam",https://unstop.com/hackathons/gamevita-30-iiit-kottayam-920142,2024-03-02 00:00:00,hackathons,recent,37,2099-12-31 00:00:00.000000000,21450,"Engineering Students, Hackathon, Coding Challenge, College Festival, Designing, Music, Undergraduate","Engineering Students, Hackathon, Coding Challenge, College Festival, Designing, Music, Undergraduate",online,27697,1,21487,1
Epoch,"Indraprastha Institute of Information Technology (IIIT), Delhi",https://unstop.com/hackathons/epoch-riise-indraprastha-institute-of-information-technology-iiit-delhi-919987,2024-03-02 00:00:00,hackathons,recent,1150,2099-12-31 00:00:00.000000000,28382,"Coding Challenge, Scholarship, Hackathon, Fellowships, College Festival, All","Coding Challenge, Scholarship, Hackathon, Fellowships, College Festival, All",offline,27697,0,29532,1
Hack-De-Science,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/hack-de-science-ojass-2024-national-institute-of-technology-nit-jamshedpur-919729,2024-03-02 00:00:00,hackathons,recent,212,2099-12-31 00:00:00.000000000,30168,"Hackathon, All, Coding Challenge, College Festival","Hackathon, All, Coding Challenge, College Festival",offline,27697,0,30380,1
Vishwa-Code-Mania,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/vishwa-code-mania-ojass-2024-national-institute-of-technology-nit-jamshedpur-919774,2024-03-02 00:00:00,hackathons,recent,148,2099-12-31 00:00:00.000000000,33597,"Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,33745,1
Hackfest'24,"KPR Institute of Engineering and Technology (KPRIET), Coimbatore",https://unstop.com/hackathons/hackfest24-kpr-institute-of-engineering-and-technology-kpriet-coimbatore-920712,2024-03-02 00:00:00,hackathons,recent,728,2099-12-31 00:00:00.000000000,28028,"Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students","Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students",online,27697,1,28756,1
Hack Sangam,"Institute of Engineering and Science, IPS Academy (IES IPS), Indore",https://unstop.com/hackathons/hack-sagama-ips-academy-institute-of-engineering-science-indore-919034,2024-03-01 00:00:00,hackathons,recent,347,2099-12-31 00:00:00.000000000,24374,"Hackathon, Engineering Students, Undergraduate, Coding Challenge","Hackathon, Engineering Students, Undergraduate, Coding Challenge",offline,27698,0,24721,1
Neural Net Insights,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/neural-net-insights-ojass-2024-national-institute-of-technology-nit-jamshedpur-919816,2024-03-02 00:00:00,hackathons,recent,213,2099-12-31 00:00:00.000000000,29423,"Coding Challenge, College Festival, All","Coding Challenge, College Festival, All",offline,27697,0,29636,1
Web Hackathon,"Indian Institute of Technology, Bhubaneswar",https://unstop.com/hackathons/web-hackathon-indian-institute-of-technology-bhubaneswar-iit-bhubaneswar-920609,2024-03-03 00:00:00,hackathons,recent,188,2099-12-31 00:00:00.000000000,22868,"College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27696,0,23056,1
Smart Automation Hackathon,"Indian Institute of Technology (IIT), Bhilai",https://unstop.com/hackathons/smart-automation-hackathon-meraz-40-indian-institute-of-technology-iit-bhilai-920332,2024-03-02 00:00:00,hackathons,recent,174,2099-12-31 00:00:00.000000000,23119,"Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online,27697,1,23293,1
Code Conundrum 2024,"Netaji Subhas University of Technology (NSUT), Delhi",https://unstop.com/hackathons/code-conundrum-2024-moksha-innovision-24-netaji-subhas-university-of-technology-nsut-delhi-920305,2024-03-02 00:00:00,hackathons,recent,81,2099-12-31 00:00:00.000000000,14499,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,14580,1
Gamevita 3.0,"Indian Institute of Information Technology (IIIT), Kottayam",https://unstop.com/hackathons/gamevita-30-iiit-kottayam-920142,2024-03-02 00:00:00,hackathons,recent,37,2099-12-31 00:00:00.000000000,21450,"Engineering Students, Hackathon, Coding Challenge, College Festival, Designing, Music, Undergraduate","Engineering Students, Hackathon, Coding Challenge, College Festival, Designing, Music, Undergraduate",online,27697,1,21487,1
Epoch,"Indraprastha Institute of Information Technology (IIIT), Delhi",https://unstop.com/hackathons/epoch-riise-indraprastha-institute-of-information-technology-iiit-delhi-919987,2024-03-02 00:00:00,hackathons,recent,1150,2099-12-31 00:00:00.000000000,28382,"Coding Challenge, Scholarship, Hackathon, Fellowships, College Festival, All","Coding Challenge, Scholarship, Hackathon, Fellowships, College Festival, All",offline,27697,0,29532,1
Hack-De-Science,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/hack-de-science-ojass-2024-national-institute-of-technology-nit-jamshedpur-919729,2024-03-02 00:00:00,hackathons,recent,212,2099-12-31 00:00:00.000000000,30168,"Hackathon, All, Coding Challenge, College Festival","Hackathon, All, Coding Challenge, College Festival",offline,27697,0,30380,1
Vishwa-Code-Mania,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/vishwa-code-mania-ojass-2024-national-institute-of-technology-nit-jamshedpur-919774,2024-03-02 00:00:00,hackathons,recent,148,2099-12-31 00:00:00.000000000,33597,"Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,33745,1
Hackfest'24,"KPR Institute of Engineering and Technology (KPRIET), Coimbatore",https://unstop.com/hackathons/hackfest24-kpr-institute-of-engineering-and-technology-kpriet-coimbatore-920712,2024-03-02 00:00:00,hackathons,recent,728,2099-12-31 00:00:00.000000000,28028,"Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students","Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students",online,27697,1,28756,1
Hack Sangam,"Institute of Engineering and Science, IPS Academy (IES IPS), Indore",https://unstop.com/hackathons/hack-sagama-ips-academy-institute-of-engineering-science-indore-919034,2024-03-01 00:00:00,hackathons,recent,347,2099-12-31 00:00:00.000000000,24374,"Hackathon, Engineering Students, Undergraduate, Coding Challenge","Hackathon, Engineering Students, Undergraduate, Coding Challenge",offline,27698,0,24721,1
Neural Net Insights,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/neural-net-insights-ojass-2024-national-institute-of-technology-nit-jamshedpur-919816,2024-03-02 00:00:00,hackathons,recent,213,2099-12-31 00:00:00.000000000,29423,"Coding Challenge, College Festival, All","Coding Challenge, College Festival, All",offline,27697,0,29636,1
Web Hackathon,"Indian Institute of Technology, Bhubaneswar",https://unstop.com/hackathons/web-hackathon-indian-institute-of-technology-bhubaneswar-iit-bhubaneswar-920609,2024-03-03 00:00:00,hackathons,recent,188,2099-12-31 00:00:00.000000000,22868,"College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27696,0,23056,1
Smart Automation Hackathon,"Indian Institute of Technology (IIT), Bhilai",https://unstop.com/hackathons/smart-automation-hackathon-meraz-40-indian-institute-of-technology-iit-bhilai-920332,2024-03-02 00:00:00,hackathons,recent,174,2099-12-31 00:00:00.000000000,23119,"Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online,27697,1,23293,1
Code Conundrum 2024,"Netaji Subhas University of Technology (NSUT), Delhi",https://unstop.com/hackathons/code-conundrum-2024-moksha-innovision-24-netaji-subhas-university-of-technology-nsut-delhi-920305,2024-03-02 00:00:00,hackathons,recent,81,2099-12-31 00:00:00.000000000,14499,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,14580,1
Gamevita 3.0,"Indian Institute of Information Technology (IIIT), Kottayam",https://unstop.com/hackathons/gamevita-30-iiit-kottayam-920142,2024-03-02 00:00:00,hackathons,recent,37,2099-12-31 00:00:00.000000000,21450,"Engineering Students, Hackathon, Coding Challenge, College Festival, Designing, Music, Undergraduate","Engineering Students, Hackathon, Coding Challenge, College Festival, Designing, Music, Undergraduate",online,27697,1,21487,1
Epoch,"Indraprastha Institute of Information Technology (IIIT), Delhi",https://unstop.com/hackathons/epoch-riise-indraprastha-institute-of-information-technology-iiit-delhi-919987,2024-03-02 00:00:00,hackathons,recent,1150,2099-12-31 00:00:00.000000000,28382,"Coding Challenge, Scholarship, Hackathon, Fellowships, College Festival, All","Coding Challenge, Scholarship, Hackathon, Fellowships, College Festival, All",offline,27697,0,29532,1
Hack-De-Science,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/hack-de-science-ojass-2024-national-institute-of-technology-nit-jamshedpur-919729,2024-03-02 00:00:00,hackathons,recent,212,2099-12-31 00:00:00.000000000,30168,"Hackathon, All, Coding Challenge, College Festival","Hackathon, All, Coding Challenge, College Festival",offline,27697,0,30380,1
Vishwa-Code-Mania,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/vishwa-code-mania-ojass-2024-national-institute-of-technology-nit-jamshedpur-919774,2024-03-02 00:00:00,hackathons,recent,148,2099-12-31 00:00:00.000000000,33597,"Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,33745,1
Hackfest'24,"KPR Institute of Engineering and Technology (KPRIET), Coimbatore",https://unstop.com/hackathons/hackfest24-kpr-institute-of-engineering-and-technology-kpriet-coimbatore-920712,2024-03-02 00:00:00,hackathons,recent,728,2099-12-31 00:00:00.000000000,28028,"Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students","Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students",online,27697,1,28756,1
Hack Sangam,"Institute of Engineering and Science, IPS Academy (IES IPS), Indore",https://unstop.com/hackathons/hack-sagama-ips-academy-institute-of-engineering-science-indore-919034,2024-03-01 00:00:00,hackathons,recent,347,2099-12-31 00:00:00.000000000,24374,"Hackathon, Engineering Students, Undergraduate, Coding Challenge","Hackathon, Engineering Students, Undergraduate, Coding Challenge",offline,27698,0,24721,1
Neural Net Insights,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/neural-net-insights-ojass-2024-national-institute-of-technology-nit-jamshedpur-919816,2024-03-02 00:00:00,hackathons,recent,213,2099-12-31 00:00:00.000000000,29423,"Coding Challenge, College Festival, All","Coding Challenge, College Festival, All",offline,27697,0,29636,1
Web Hackathon,"Indian Institute of Technology, Bhubaneswar",https://unstop.com/hackathons/web-hackathon-indian-institute-of-technology-bhubaneswar-iit-bhubaneswar-920609,2024-03-03 00:00:00,hackathons,recent,188,2099-12-31 00:00:00.000000000,22868,"College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27696,0,23056,1
Smart Automation Hackathon,"Indian Institute of Technology (IIT), Bhilai",https://unstop.com/hackathons/smart-automation-hackathon-meraz-40-indian-institute-of-technology-iit-bhilai-920332,2024-03-02 00:00:00,hackathons,recent,174,2099-12-31 00:00:00.000000000,23119,"Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online,27697,1,23293,1
Code Conundrum 2024,"Netaji Subhas University of Technology (NSUT), Delhi",https://unstop.com/hackathons/code-conundrum-2024-moksha-innovision-24-netaji-subhas-university-of-technology-nsut-delhi-920305,2024-03-02 00:00:00,hackathons,recent,81,2099-12-31 00:00:00.000000000,14499,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,14580,1
Gamevita 3.0,"Indian Institute of Information Technology (IIIT), Kottayam",https://unstop.com/hackathons/gamevita-30-iiit-kottayam-920142,2024-03-02 00:00:00,hackathons,recent,37,2099-12-31 00:00:00.000000000,21450,"Engineering Students, Hackathon, Coding Challenge, College Festival, Designing, Music, Undergraduate","Engineering Students, Hackathon, Coding Challenge, College Festival, Designing, Music, Undergraduate",online,27697,1,21487,1
Epoch,"Indraprastha Institute of Information Technology (IIIT), Delhi",https://unstop.com/hackathons/epoch-riise-indraprastha-institute-of-information-technology-iiit-delhi-919987,2024-03-02 00:00:00,hackathons,recent,1150,2099-12-31 00:00:00.000000000,28382,"Coding Challenge, Scholarship, Hackathon, Fellowships, College Festival, All","Coding Challenge, Scholarship, Hackathon, Fellowships, College Festival, All",offline,27697,0,29532,1
Hack-De-Science,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/hack-de-science-ojass-2024-national-institute-of-technology-nit-jamshedpur-919729,2024-03-02 00:00:00,hackathons,recent,212,2099-12-31 00:00:00.000000000,30168,"Hackathon, All, Coding Challenge, College Festival","Hackathon, All, Coding Challenge, College Festival",offline,27697,0,30380,1
Vishwa-Code-Mania,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/vishwa-code-mania-ojass-2024-national-institute-of-technology-nit-jamshedpur-919774,2024-03-02 00:00:00,hackathons,recent,148,2099-12-31 00:00:00.000000000,33597,"Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,33745,1
Hackfest'24,"KPR Institute of Engineering and Technology (KPRIET), Coimbatore",https://unstop.com/hackathons/hackfest24-kpr-institute-of-engineering-and-technology-kpriet-coimbatore-920712,2024-03-02 00:00:00,hackathons,recent,728,2099-12-31 00:00:00.000000000,28028,"Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students","Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students",online,27697,1,28756,1
Hack Sangam,"Institute of Engineering and Science, IPS Academy (IES IPS), Indore",https://unstop.com/hackathons/hack-sagama-ips-academy-institute-of-engineering-science-indore-919034,2024-03-01 00:00:00,hackathons,recent,347,2099-12-31 00:00:00.000000000,24374,"Hackathon, Engineering Students, Undergraduate, Coding Challenge","Hackathon, Engineering Students, Undergraduate, Coding Challenge",offline,27698,0,24721,1
Neural Net Insights,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/neural-net-insights-ojass-2024-national-institute-of-technology-nit-jamshedpur-919816,2024-03-02 00:00:00,hackathons,recent,213,2099-12-31 00:00:00.000000000,29423,"Coding Challenge, College Festival, All","Coding Challenge, College Festival, All",offline,27697,0,29636,1
Web Hackathon,"Indian Institute of Technology, Bhubaneswar",https://unstop.com/hackathons/web-hackathon-indian-institute-of-technology-bhubaneswar-iit-bhubaneswar-920609,2024-03-03 00:00:00,hackathons,recent,188,2099-12-31 00:00:00.000000000,22868,"College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27696,0,23056,1
Smart Automation Hackathon,"Indian Institute of Technology (IIT), Bhilai",https://unstop.com/hackathons/smart-automation-hackathon-meraz-40-indian-institute-of-technology-iit-bhilai-920332,2024-03-02 00:00:00,hackathons,recent,174,2099-12-31 00:00:00.000000000,23119,"Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online,27697,1,23293,1
Code Conundrum 2024,"Netaji Subhas University of Technology (NSUT), Delhi",https://unstop.com/hackathons/code-conundrum-2024-moksha-innovision-24-netaji-subhas-university-of-technology-nsut-delhi-920305,2024-03-02 00:00:00,hackathons,recent,81,2099-12-31 00:00:00.000000000,14499,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,14580,1
Gamevita 3.0,"Indian Institute of Information Technology (IIIT), Kottayam",https://unstop.com/hackathons/gamevita-30-iiit-kottayam-920142,2024-03-02 00:00:00,hackathons,recent,37,2099-12-31 00:00:00.000000000,21450,"Engineering Students, Hackathon, Coding Challenge, College Festival, Designing, Music, Undergraduate","Engineering Students, Hackathon, Coding Challenge, College Festival, Designing, Music, Undergraduate",online,27697,1,21487,1
Epoch,"Indraprastha Institute of Information Technology (IIIT), Delhi",https://unstop.com/hackathons/epoch-riise-indraprastha-institute-of-information-technology-iiit-delhi-919987,2024-03-02 00:00:00,hackathons,recent,1150,2099-12-31 00:00:00.000000000,28382,"Coding Challenge, Scholarship, Hackathon, Fellowships, College Festival, All","Coding Challenge, Scholarship, Hackathon, Fellowships, College Festival, All",offline,27697,0,29532,1
Hack-De-Science,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/hack-de-science-ojass-2024-national-institute-of-technology-nit-jamshedpur-919729,2024-03-02 00:00:00,hackathons,recent,212,2099-12-31 00:00:00.000000000,30168,"Hackathon, All, Coding Challenge, College Festival","Hackathon, All, Coding Challenge, College Festival",offline,27697,0,30380,1
Vishwa-Code-Mania,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/vishwa-code-mania-ojass-2024-national-institute-of-technology-nit-jamshedpur-919774,2024-03-02 00:00:00,hackathons,recent,148,2099-12-31 00:00:00.000000000,33597,"Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,33745,1
Hackfest'24,"KPR Institute of Engineering and Technology (KPRIET), Coimbatore",https://unstop.com/hackathons/hackfest24-kpr-institute-of-engineering-and-technology-kpriet-coimbatore-920712,2024-03-02 00:00:00,hackathons,recent,728,2099-12-31 00:00:00.000000000,28028,"Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students","Hackathon, Engineering Students, Postgraduate, Undergraduate, MBA Students",online,27697,1,28756,1
Hack Sangam,"Institute of Engineering and Science, IPS Academy (IES IPS), Indore",https://unstop.com/hackathons/hack-sagama-ips-academy-institute-of-engineering-science-indore-919034,2024-03-01 00:00:00,hackathons,recent,347,2099-12-31 00:00:00.000000000,24374,"Hackathon, Engineering Students, Undergraduate, Coding Challenge","Hackathon, Engineering Students, Undergraduate, Coding Challenge",offline,27698,0,24721,1
Neural Net Insights,"National Institute of Technology (NIT), Jamshedpur",https://unstop.com/hackathons/neural-net-insights-ojass-2024-national-institute-of-technology-nit-jamshedpur-919816,2024-03-02 00:00:00,hackathons,recent,213,2099-12-31 00:00:00.000000000,29423,"Coding Challenge, College Festival, All","Coding Challenge, College Festival, All",offline,27697,0,29636,1
Web Hackathon,"Indian Institute of Technology, Bhubaneswar",https://unstop.com/hackathons/web-hackathon-indian-institute-of-technology-bhubaneswar-iit-bhubaneswar-920609,2024-03-03 00:00:00,hackathons,recent,188,2099-12-31 00:00:00.000000000,22868,"College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","College Festival, Designing, Conclave, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27696,0,23056,1
Smart Automation Hackathon,"Indian Institute of Technology (IIT), Bhilai",https://unstop.com/hackathons/smart-automation-hackathon-meraz-40-indian-institute-of-technology-iit-bhilai-920332,2024-03-02 00:00:00,hackathons,recent,174,2099-12-31 00:00:00.000000000,23119,"Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Presentation, College Festival, Others, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online,27697,1,23293,1
Code Conundrum 2024,"Netaji Subhas University of Technology (NSUT), Delhi",https://unstop.com/hackathons/code-conundrum-2024-moksha-innovision-24-netaji-subhas-university-of-technology-nsut-delhi-920305,2024-03-02 00:00:00,hackathons,recent,81,2099-12-31 00:00:00.000000000,14499,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,27697,0,14580,1
